Name,Level,Other_Title
Assay and drug development technologies,1,
Assemblage: the sheffield graduate journal of archaeology,1,
Assembly automation,1,
Assessing writing,1,
Assessment,1,
Assessment and evaluation in higher education,3,
"Assessment in education: principles, policy and practice",2,
Assistive technology,1,
Annual meeting of the association for computational linguistics,3,
Asta: advances in statistical analysis,1,
Asterisque,2,
Astin bulletin,1,
Astrobiology,1,
Astronomical and astrophysical transactions: the journal of the eurasian astronomical society,1,
Astronomical journal,1,
Astronomical Society of the Pacific conference series,1,
Astronomische nachrichten,1,
Astronomy and astrophysics,3,
Astronomy and geophysics,1,
Astronomy and astrophysics review,3,
Astronomy letters: a journal of astronomy and space astrophysics,1,
Astronomy reports,1,
Astroparticle physics,1,
Astrophysical bulletin,1,
Astrophysical journal,1,
Astrophysical journal letters,3,
Astrophysical journal supplement series,2,
Astrophysics,1,
Astrophysics and space science,1,
Astropolitics,1,
Asymptotic analysis,1,
Atencion primaria,1,
Atene e roma: nuova serie seconda,1,
Athenaeum,1,
Athenaeum: studi periodici di letteratura e storia dellantichita,2,
Atherosclerosis,2,
International journal of athletic therapy & training,1,
Atiqot,1,
Atla: alternatives to laboratory animals,1,
Atlal,1,
Atlanta review,1,
Atlantic economic journal,1,
Atlantic geology,1,
Atlantic journal of communications,1,
"Atlantic studies: literary, cultural and historical perspectives",2,
Atlantis,1,
Atlantis : a womens studies journal,1,
Atmosfera,1,
Atmosphere: ocean,1,
Atmospheric chemistry and physics,3,
Atmospheric environment,1,
Atmospheric measurement techniques,2,
Atmospheric research,1,
Atmospheric science letters,1,
Atomic data and nuclear data tables,1,
Atomic energy,1,
Atomic spectroscopy,1,
Atomization and sprays,1,
Attachment and human development,1,
Attention and performance,1,
Attention perception and psychophysics,1,
Atti della accademia nazionale dei lincei: notizie degli scavi di antichita,1,
"Atti della pontificia accademia romana di archeologia: serie 3, memorie",1,
"Atti della pontificia accademia romana di archeologia: serie iii, rendiconti",1,
Atti centro richerche e documentazione sullantichità classica,1,
ATW : international journal for nuclear power,1,
Audiological medicine,1,
Audiology: official organ of the international society of audiology,1,
Audiology and neuro-otology,1,
Auditing: a journal of practice and theory,2,
At mineral processing : Europe,1,
Aufklärung: interdisziplinare halbjahrechrift zur erforschung des 18: jahrhunderts und seiner wirkungsgeschichte,1,
Augmentative and alternative communication,1,
Augustinian studies,2,
Augustiniana,1,
Augustinianum,1,
Augustinus,1,
Aula orientalis,1,
Aun,1,
Accademia etrusca di cortona: annuario,1,
Auris nasus larynx,1,
Aus politik und zeitgeschichte,1,
Ausgrabungen und Funde in Westfalen-Lippe,1,
Ausimm bulletin,1,
Austral ecology,1,
Australasian biotechnology,1,
Australasian Canadian Studies,1,
Australasian drama studies,1,
Australasian journal of combinatorics,1,
Australasian journal of dermatology,1,
Australasian journal of disaster and trauma studies,1,
Australasian journal of environmental management,1,
Australasian journal of information systems,1,
Australasian journal of philosophy,3,
Australasian journal on ageing,1,
Australasian marketing journal,1,
Australasian psychiatry,1,
Australasian journal of victorian studies,1,
Australian and new zealand journal of obstetrics and gynaecology,1,
Australian and new zealand journal of statistics,1,
